feature_path,label,filename
../data/processed/Taylor Swift - Cruel Summer.mp3_0.npy,0,Taylor Swift - Cruel Summer.mp3
../data/processed/Taylor Swift - Cruel Summer.mp3_1.npy,0,Taylor Swift - Cruel Summer.mp3
../data/processed/Taylor Swift - Cruel Summer.mp3_2.npy,0,Taylor Swift - Cruel Summer.mp3
../data/processed/Taylor Swift - Cruel Summer.mp3_3.npy,0,Taylor Swift - Cruel Summer.mp3
../data/processed/Taylor Swift - Cruel Summer.mp3_4.npy,0,Taylor Swift - Cruel Summer.mp3
../data/processed/Taylor Swift - Cruel Summer.mp3_5.npy,0,Taylor Swift - Cruel Summer.mp3
../data/processed/Taylor Swift - Cruel Summer.mp3_6.npy,0,Taylor Swift - Cruel Summer.mp3
../data/processed/Taylor Swift - Cruel Summer.mp3_7.npy,0,Taylor Swift - Cruel Summer.mp3
../data/processed/Taylor Swift - Cruel Summer.mp3_8.npy,0,Taylor Swift - Cruel Summer.mp3
../data/processed/Taylor Swift - Cruel Summer.mp3_9.npy,0,Taylor Swift - Cruel Summer.mp3
../data/processed/Taylor Swift - Cruel Summer.mp3_10.npy,0,Taylor Swift - Cruel Summer.mp3
../data/processed/Taylor Swift - Cruel Summer.mp3_11.npy,0,Taylor Swift - Cruel Summer.mp3
../data/processed/Taylor Swift - Cruel Summer.mp3_12.npy,0,Taylor Swift - Cruel Summer.mp3
../data/processed/Taylor Swift - Cruel Summer.mp3_13.npy,0,Taylor Swift - Cruel Summer.mp3
../data/processed/Taylor Swift - Cruel Summer.mp3_14.npy,0,Taylor Swift - Cruel Summer.mp3
../data/processed/Taylor Swift - Cruel Summer.mp3_15.npy,0,Taylor Swift - Cruel Summer.mp3
../data/processed/Taylor Swift - Cruel Summer.mp3_16.npy,0,Taylor Swift - Cruel Summer.mp3
../data/processed/Taylor Swift - Cruel Summer.mp3_17.npy,0,Taylor Swift - Cruel Summer.mp3
../data/processed/Taylor Swift - Cruel Summer.mp3_18.npy,0,Taylor Swift - Cruel Summer.mp3
../data/processed/Taylor Swift - Cruel Summer.mp3_19.npy,0,Taylor Swift - Cruel Summer.mp3
../data/processed/Taylor Swift - Cruel Summer.mp3_20.npy,0,Taylor Swift - Cruel Summer.mp3
../data/processed/Taylor Swift - Cruel Summer.mp3_21.npy,0,Taylor Swift - Cruel Summer.mp3
../data/processed/Taylor Swift - Cruel Summer.mp3_22.npy,0,Taylor Swift - Cruel Summer.mp3
../data/processed/Taylor Swift - Cruel Summer.mp3_23.npy,0,Taylor Swift - Cruel Summer.mp3
../data/processed/Taylor Swift - Cruel Summer.mp3_24.npy,0,Taylor Swift - Cruel Summer.mp3
../data/processed/Taylor Swift - Cruel Summer.mp3_25.npy,0,Taylor Swift - Cruel Summer.mp3
../data/processed/Taylor Swift - Cruel Summer.mp3_26.npy,0,Taylor Swift - Cruel Summer.mp3
../data/processed/Taylor Swift - Cruel Summer.mp3_27.npy,0,Taylor Swift - Cruel Summer.mp3
../data/processed/Taylor Swift - Cruel Summer.mp3_28.npy,0,Taylor Swift - Cruel Summer.mp3
../data/processed/Taylor Swift - Cruel Summer.mp3_29.npy,0,Taylor Swift - Cruel Summer.mp3
../data/processed/Taylor Swift - Cruel Summer.mp3_30.npy,0,Taylor Swift - Cruel Summer.mp3
../data/processed/Taylor Swift - Cruel Summer.mp3_31.npy,0,Taylor Swift - Cruel Summer.mp3
../data/processed/Taylor Swift - Cruel Summer.mp3_32.npy,0,Taylor Swift - Cruel Summer.mp3
../data/processed/Taylor Swift - Cruel Summer.mp3_33.npy,0,Taylor Swift - Cruel Summer.mp3
../data/processed/Taylor Swift - Cruel Summer.mp3_34.npy,0,Taylor Swift - Cruel Summer.mp3
../data/processed/Taylor Swift - Cruel Summer.mp3_35.npy,0,Taylor Swift - Cruel Summer.mp3
